"county_fips","state","county","total_population","median_household_income","poverty_rate","median_age","median_gross_rent"
"01001","Alabama","Autauga",59285,69841,10.684306413989205,39.2,1200
"01003","Alabama","Baldwin",239945,75019,10.514698717595671,43.7,1211
"01005","Alabama","Barbour",24757,44290,21.92147806004619,40.7,644
"01007","Alabama","Bibb",22152,51215,20.51158533648056,41.3,802
"01009","Alabama","Blount",59292,61096,14.095286797920394,40.9,743
"01011","Alabama","Bullock",10157,36723,25.651127161304444,40.4,635
"01013","Alabama","Butler",18807,44881,21.015866139600366,42.2,722
"01015","Alabama","Calhoun",116141,55826,17.462188175211157,39.0,804
"01017","Alabama","Chambers",34450,49295,15.480078380143697,41.5,850
"01019","Alabama","Cherokee",25224,50769,14.523339643159208,47.4,750
"01021","Alabama","Chilton",45500,61873,13.614793360810962,39.5,855
"01023","Alabama","Choctaw",12525,44483,19.53055443140429,47.0,653
"01025","Alabama","Clarke",22802,49167,20.54311959332917,42.5,785
"01027","Alabama","Clay",14188,51852,16.5465032444124,43.8,624
"01029","Alabama","Cleburne",15254,53319,13.154754011404323,42.3,792
"01031","Alabama","Coffee",54231,64672,17.618860363649983,38.8,970
"01033","Alabama","Colbert",57648,56736,16.876468319366037,42.3,838
"01035","Alabama","Conecuh",11411,42266,27.63530244074991,46.3,781
"01037","Alabama","Coosa",10323,57063,11.626276787502505,50.3,682
"01039","Alabama","Covington",37647,50886,18.04310251701415,42.8,736
"01041","Alabama","Crenshaw",13144,49040,16.190772582276512,42.4,664
"01043","Alabama","Cullman",89463,60916,13.901887645529559,41.1,883
"01045","Alabama","Dale",49516,53955,18.71096728981594,38.0,863
"01047","Alabama","Dallas",37536,36810,29.000836458811147,40.3,749
"01049","Alabama","DeKalb",71946,51149,20.359848484848484,39.6,683
"01051","Alabama","Elmore",88669,75553,10.285062171607903,38.9,1014
"01053","Alabama","Escambia",36695,44447,21.204042771349055,40.5,709
"01055","Alabama","Etowah",103208,53070,17.099703229103202,41.8,807
"01057","Alabama","Fayette",16173,50733,18.66155104094597,42.8,622
"01059","Alabama","Franklin",31978,51493,17.37475013484786,38.6,667
"01061","Alabama","Geneva",26726,50951,19.0532051767199,44.0,757
"01063","Alabama","Greene",7589,31495,35.9121171770972,44.4,429
"01065","Alabama","Hale",14749,41325,23.893193137797457,41.0,723
"01067","Alabama","Henry",17450,60135,15.794408955048937,45.0,770
"01069","Alabama","Houston",107628,57531,18.03509694874493,40.3,905
"01071","Alabama","Jackson",52839,49454,16.7671778377654,43.4,762
"01073","Alabama","Jefferson",669744,64589,16.33237558760307,37.8,1132
"01075","Alabama","Lamar",13809,47447,15.060284983558642,44.5,548
"01077","Alabama","Lauderdale",95037,59082,13.64000953846821,40.7,799
"01079","Alabama","Lawrence",33182,60040,13.740318350917851,42.8,708
"01081","Alabama","Lee",177663,61123,18.869221414765683,33.6,999
"01083","Alabama","Limestone",107577,83534,10.142422234386855,40.5,908
"01085","Alabama","Lowndes",10008,35160,29.591629418935394,42.7,663
"01087","Alabama","Macon",18951,45951,22.093734703866865,37.8,709
"01089","Alabama","Madison",397135,83528,10.482494149148708,38.2,1116
"01091","Alabama","Marengo",19027,44205,22.56571246142386,41.1,722
"01093","Alabama","Marion",29190,50714,16.847673766816143,43.8,583
"01095","Alabama","Marshall",98712,60946,16.28593165275322,38.6,765
"01097","Alabama","Mobile",413162,58119,16.268674389690354,38.4,1021
"01099","Alabama","Monroe",19580,40225,22.6066718386346,43.9,721
"01101","Alabama","Montgomery",227197,58153,19.28821829442548,36.9,1061
"01103","Alabama","Morgan",123742,64858,13.561489033513977,40.3,835
"01105","Alabama","Perry",8231,34368,31.238095238095237,42.5,610
"01107","Alabama","Pickens",18843,47014,22.57144520109423,42.5,600
"01109","Alabama","Pike",32953,47961,23.402369777135917,31.7,855
"01111","Alabama","Randolph",22310,51551,18.380249192431933,44.0,646
"01113","Alabama","Russell",58858,50046,22.248532894059508,37.2,898
"01115","Alabama","St. Clair",92903,78993,11.172759160802135,41.0,1077
"01117","Alabama","Shelby",226955,93543,6.922738969434507,40.0,1348
"01119","Alabama","Sumter",12020,37981,28.114021880959548,34.9,841
"01121","Alabama","Talladega",81170,56249,17.653214138073583,42.2,772
"01123","Alabama","Tallapoosa",41070,57185,15.205200734454866,45.4,734
"01125","Alabama","Tuscaloosa",234036,63947,16.65120678052418,33.0,997
"01127","Alabama","Walker",64886,54509,17.979454748533044,41.3,743
"01129","Alabama","Washington",15270,60503,18.446601941747574,44.1,628
"01131","Alabama","Wilcox",10347,42236,29.03225806451613,42.0,699
"01133","Alabama","Winston",23637,48032,19.46352209407801,45.3,744
"02013","Alaska","Aleutians East",3423,72692,12.433862433862434,41.8,1040
"02016","Alaska","Aleutians West",5178,107344,9.235412474849095,39.1,1886
"02020","Alaska","Anchorage",289069,98152,9.269889295762699,34.9,1453
"02050","Alaska","Bethel",18487,70616,24.03203534935101,28.7,1454
"02060","Alaska","Bristol Bay",878,100625,9.673659673659674,39.3,1318
"02063","Alaska","Chugach",6964,88565,4.805424528301887,38.4,1397
"02066","Alaska","Copper River",2626,75053,11.37678364828384,45.5,973
"02068","Alaska","Denali",2029,88935,6.569709127382146,44.1,938
"02070","Alaska","Dillingham",4780,74250,16.329113924050635,30.9,1085
"02090","Alaska","Fairbanks North Star",95555,84722,6.1693328980302535,32.4,1424
"02100","Alaska","Haines",2077,72607,6.09284332688588,52.4,914
"02105","Alaska","Hoonah-Angoon",2313,62500,12.5810635538262,51.4,986
"02110","Alaska","Juneau City and",31969,100513,8.185473576716875,39.8,1462
"02122","Alaska","Kenai Peninsula",59843,77722,11.615574107020665,41.5,1163
"02130","Alaska","Ketchikan Gateway",13870,89155,9.491129444403883,40.8,1388
"02150","Alaska","Kodiak Island",12878,83716,7.701506816551064,35.4,1669
"02158","Alaska","Kusilvak",8277,48233,31.21563836285889,23.6,832
"02164","Alaska","Lake and Peninsula",1007,64000,15.230460921843688,33.4,933
"02170","Alaska","Matanuska-Susitna",110677,90625,10.305616101655614,36.6,1258
"02180","Alaska","Nome",9925,76643,21.132783978303955,29.4,1328
"02185","Alaska","North Slope",10891,86313,8.348845867460907,35.2,1167
"02188","Alaska","Northwest Arctic",7611,81298,18.406703019018487,28.3,1336
"02195","Alaska","Petersburg",3394,77026,5.695243865495304,45.7,1208
"02198","Alaska","Prince of Wales-Hyder",5730,59079,15.07908611599297,43.7,915
"02220","Alaska","Sitka City and",8393,101207,8.38104519429894,39.6,1350
"02230","Alaska","Skagway",1308,78594,6.192660550458716,42.5,1228
"02240","Alaska","Southeast Fairbanks",6936,74223,13.26634629386923,37.9,1304
"02275","Alaska","Wrangell City and",2106,64545,10.892514395393475,44.3,1047
"02282","Alaska","Yakutat City and",506,80625,7.784431137724551,53.2,1276
"02290","Alaska","Yukon-Koyukuk",5271,52642,20.764818355640536,37.3,893
"04001","Arizona","Apache",65680,40338,31.223746849621953,36.2,647
"04003","Arizona","Cochise",125458,58970,15.538536307419015,42.9,939
"04005","Arizona","Coconino",144643,69748,17.6834226853804,32.4,1406
"04007","Arizona","Gila",53610,59089,17.775271016958875,51.4,1001
"04009","Arizona","Graham",38860,67326,17.677007860799506,34.4,890
"04011","Arizona","Greenlee",9452,75239,10.794730131746705,36.1,570
"04012","Arizona","La Paz",16605,49506,18.44499078057775,59.7,735
"04013","Arizona","Maricopa",4491987,85518,11.250356744752436,37.5,1587
"04015","Arizona","Mohave",217420,55799,16.83167385486579,53.2,1047
"04017","Arizona","Navajo",107744,52752,24.712485136741975,39.4,832
"04019","Arizona","Pima",1049947,67929,14.352333331374773,39.7,1154
"04021","Arizona","Pinal",449219,77588,10.871788658989193,40.3,1417
"04023","Arizona","Santa Cruz",48209,53614,20.213231160069135,37.9,781
"04025","Arizona","Yavapai",241656,66106,12.594464804751674,55.0,1258
"04027","Arizona","Yuma",207685,60417,16.45786674132139,35.8,983
"05001","Arkansas","Arkansas",16773,60831,14.715698768129135,41.0,799
"05003","Arkansas","Ashley",18722,44481,22.716248989490705,42.7,640
"05005","Arkansas","Baxter",42150,48427,14.457686866022398,51.9,866
"05007","Arkansas","Benton",294541,89879,7.610934056678047,35.8,1193
"05009","Arkansas","Boone",37896,54195,13.442631734040559,41.3,715
"05011","Arkansas","Bradley",10354,39565,20.05850804485617,38.5,638
"05013","Arkansas","Calhoun",4717,63654,13.29646017699115,44.8,822
"05015","Arkansas","Carroll",28526,55187,16.2629880492216,44.7,818
"05017","Arkansas","Chicot",9997,39683,24.380788283437433,42.9,661
"05019","Arkansas","Clark",21378,50985,20.192919228323085,31.9,734
"05021","Arkansas","Clay",14399,48500,17.224644816429876,42.6,696
"05023","Arkansas","Cleburne",25048,55979,13.846652880833638,49.5,853
"05025","Arkansas","Cleveland",7491,50509,15.566356149588229,43.7,635
"05027","Arkansas","Columbia",22527,47363,22.690390067455272,34.5,631
"05029","Arkansas","Conway",20872,51212,20.590509326374796,42.6,721
"05031","Arkansas","Craighead",112097,57615,19.06738619067386,34.5,930
"05033","Arkansas","Crawford",60792,60362,16.786715693681895,39.1,828
"05035","Arkansas","Crittenden",47609,54271,20.71000855431993,36.0,883
"05037","Arkansas","Cross",16681,47012,20.08971871968962,40.6,797
"05039","Arkansas","Dallas",6351,44694,11.169948700976336,44.5,626
"05041","Arkansas","Desha",11041,36064,28.918746001279587,41.2,689
"05043","Arkansas","Drew",17143,41071,22.7439471753485,37.7,712
"05045","Arkansas","Faulkner",126001,65071,15.025652946352967,34.0,980
"05047","Arkansas","Franklin",17220,51919,18.86246976222786,42.4,717
"05049","Arkansas","Fulton",12239,38941,14.754098360655737,48.6,596
"05051","Arkansas","Garland",100062,55409,16.474563201363665,45.3,942
"05053","Arkansas","Grant",18111,72512,12.321189092534643,40.2,779
"05055","Arkansas","Greene",46182,56793,17.036756852972587,37.8,852
"05057","Arkansas","Hempstead",19778,47654,18.989484483200822,41.1,781
"05059","Arkansas","Hot Spring",33142,52644,17.064315352697097,43.0,763
"05061","Arkansas","Howard",12701,44492,19.784345047923324,39.4,702
"05063","Arkansas","Independence",38120,56009,19.63462937515156,39.0,814
"05065","Arkansas","Izard",13866,47728,21.080657791699295,47.5,626
"05067","Arkansas","Jackson",16775,41215,21.197771587743734,40.4,662
"05069","Arkansas","Jefferson",65780,48552,20.58853068193231,39.5,849
"05071","Arkansas","Johnson",25932,44808,19.351252630325167,39.4,714
"05073","Arkansas","Lafayette",6211,37237,27.216021011162177,48.5,711
"05075","Arkansas","Lawrence",16265,44164,18.200369874370256,39.8,715
"05077","Arkansas","Lee",8511,36860,27.700273263339565,41.9,638
"05079","Arkansas","Lincoln",12966,51667,17.684210526315788,40.1,672
"05081","Arkansas","Little River",11959,52241,16.458831568158523,42.2,812
"05083","Arkansas","Logan",21240,54237,14.410919540229886,43.8,721
"05085","Arkansas","Lonoke",74747,71449,11.147523224006717,37.3,961
"05087","Arkansas","Madison",17032,53888,15.008902077151335,41.2,727
"05089","Arkansas","Marion",17076,46953,17.836812144212523,51.9,792
"05091","Arkansas","Miller",42588,49983,21.048808832074375,39.0,882
"05093","Arkansas","Mississippi",39749,53428,21.034429360450112,36.9,797
"05095","Arkansas","Monroe",6681,43955,22.174709835064142,45.5,603
"05097","Arkansas","Montgomery",8571,49015,20.847136772361573,50.8,734
"05099","Arkansas","Nevada",8228,41761,28.53240625776012,44.2,841
"05101","Arkansas","Newton",7175,47395,13.315485416373116,48.9,629
"05103","Arkansas","Ouachita",22317,49838,17.87900941240976,44.0,714
"05105","Arkansas","Perry",10073,60078,15.636290646326776,44.1,734
"05107","Arkansas","Phillips",15910,38874,28.72893169433532,39.9,756
"05109","Arkansas","Pike",10182,51000,18.838099073701166,42.8,671
"05111","Arkansas","Poinsett",22740,47188,20.06379442023451,39.8,647
"05113","Arkansas","Polk",19348,49252,18.965336134453782,44.4,699
"05115","Arkansas","Pope",63830,54606,17.55112820428173,36.7,855
"05117","Arkansas","Prairie",8162,51094,9.366286438529785,45.8,637
"05119","Arkansas","Pulaski",398949,60385,16.219724730787117,37.5,1036
