"county_fips","state","county","total_population","non_hispanic_white"
"01001","Alabama","Autauga",55639,41160
"01003","Alabama","Baldwin",218289,180955
"01005","Alabama","Barbour",25026,11332
"01007","Alabama","Bibb",22374,16650
"01009","Alabama","Blount",57755,50065
"01011","Alabama","Bullock",10173,2162
"01013","Alabama","Butler",19726,10125
"01015","Alabama","Calhoun",114324,82049
"21135","Kentucky","Lewis",13345,13030
"21137","Kentucky","Lincoln",24493,23027
"21139","Kentucky","Livingston",9172,8727
"21141","Kentucky","Logan",27049,23969
"21143","Kentucky","Lyon",8226,7380
"21145","Kentucky","McCracken",65485,54250
"21147","Kentucky","McCreary",17333,15416
"21151","Kentucky","Madison",92090,82311
"21155","Kentucky","Marion",19257,16908
"21157","Kentucky","Marshall",31225,30071
"21161","Kentucky","Mason",17122,15164
"21163","Kentucky","Meade",28379,25325
"21167","Kentucky","Mercer",21690,19678
"21169","Kentucky","Metcalfe",10062,9534
"21173","Kentucky","Montgomery",28042,26012
"21175","Kentucky","Morgan",13270,12188
"21179","Kentucky","Nelson",45915,41482
"21181","Kentucky","Nicholas",7189,6883
"21185","Kentucky","Oldham",66508,58456
"21187","Kentucky","Owen",10847,10283
"21191","Kentucky","Pendleton",14587,13828
"21195","Kentucky","Pike",58595,56766
"21197","Kentucky","Powell",12283,11737
"21201","Kentucky","Robertson",2139,2076
"21203","Kentucky","Rockcastle",16795,16275
"21207","Kentucky","Russell",17846,16708
"21209","Kentucky","Scott",55961,48541
"21213","Kentucky","Simpson",18319,15607
"21215","Kentucky","Spencer",18945,17767
"21219","Kentucky","Todd",12334,10599
"21223","Kentucky","Trimble",8528,7842
"21225","Kentucky","Union",14582,11994
"21229","Kentucky","Washington",12044,10579
"21231","Kentucky","Wayne",20447,19044
"21235","Kentucky","Whitley",36252,34752
"21237","Kentucky","Wolfe",7188,7019
"23001","Maine","Androscoggin",107958,97338
"23003","Maine","Aroostook",67431,63194
"23007","Maine","Franklin",29933,28548
"23009","Maine","Hancock",54832,51809
"23013","Maine","Knox",39809,37807
"23015","Maine","Lincoln",34415,32583
"23019","Maine","Penobscot",151696,141678
"23021","Maine","Piscataquis",16864,15887
"23025","Maine","Somerset",50573,48340
"23029","Maine","Washington",31378,28007
"23031","Maine","York",206074,192520
"27003","Minnesota","Anoka",353775,283436
"27005","Minnesota","Becker",34227,29290
"27007","Minnesota","Beltrami",46784,33506
"27009","Minnesota","Benton",40476,35979
"27011","Minnesota","Big Stone",4974,4787
"27013","Minnesota","Blue Earth",67368,58852
"27015","Minnesota","Brown",25076,23354
"27017","Minnesota","Carlton",35709,31459
"27019","Minnesota","Carver",103561,91429
"27021","Minnesota","Cass",29462,23697
"27023","Minnesota","Chippewa",11876,10285
"27025","Minnesota","Chisago",55844,51758
"47121","Tennessee","Meigs",12237,11381
"47125","Tennessee","Montgomery",204992,128270
"47127","Tennessee","Moore",6396,5926
"47131","Tennessee","Obion",30343,24691
"47133","Tennessee","Overton",22171,21266
"47137","Tennessee","Pickett",5068,4882
"47139","Tennessee","Polk",16807,15592
"47143","Tennessee","Rhea",32964,29564
"47145","Tennessee","Roane",53331,49376
"47149","Tennessee","Rutherford",324139,225604
"47151","Tennessee","Scott",22020,21366
"47153","Tennessee","Sequatchie",14936,13905
"47157","Tennessee","Shelby",936611,329976
"47159","Tennessee","Smith",19926,18258
"47163","Tennessee","Sullivan",157707,146987
"47165","Tennessee","Sumner",187680,155517
"47169","Tennessee","Trousdale",10910,9007
"47171","Tennessee","Unicoi",17821,16463
"47175","Tennessee","Van Buren",5813,5557
"47177","Tennessee","Warren",40971,34744
"47181","Tennessee","Wayne",16638,14898
"47183","Tennessee","Weakley",33377,28884
"47187","Tennessee","Williamson",232380,194587
"47189","Tennessee","Wilson",140604,117685
"49003","Utah","Box Elder",54953,47657
"49005","Utah","Cache",126336,105632
"49009","Utah","Daggett",590,573
"49011","Utah","Davis",350761,291999
"49015","Utah","Emery",10099,9188
"49017","Utah","Garfield",5000,4431
"49019","Utah","Grand",9698,7944
"49021","Utah","Iron",53148,45396
"49023","Utah","Juab",11623,10651
"49025","Utah","Kane",7658,6949
"49027","Utah","Millard",12963,10783
"49029","Utah","Morgan",11950,11248
"49031","Utah","Piute",1870,1792
"49033","Utah","Rich",2415,2158
"49035","Utah","Salt Lake",1146215,808106
"49037","Utah","San Juan",15295,6772
"49039","Utah","Sanpete",30421,26149
"49041","Utah","Sevier",21475,19708
"49043","Utah","Summit",41680,35194
"49045","Utah","Tooele",69740,57134
"49047","Utah","Uintah",35736,28922
"49049","Utah","Utah",621506,509139
"49051","Utah","Wasatch",33053,27512
"49053","Utah","Washington",172127,144595
"49055","Utah","Wayne",2698,2473
"49057","Utah","Weber",255284,193651
"50003","Vermont","Bennington",35649,33393
"50005","Vermont","Caledonia",30027,28268
"50009","Vermont","Essex",6179,5869
"50011","Vermont","Franklin",49275,46162
"50015","Vermont","Lamoille",25376,23912
"50017","Vermont","Orange",28873,27496
"50021","Vermont","Rutland",58527,55432
"50023","Vermont","Washington",58336,54664
"50027","Vermont","Windsor",55191,52146
"51001","Virginia","Accomack",32560,19505
"27165","Minnesota","Watonwan",10903,7782
"29037","Missouri","Cass",104687,91451
"29043","Missouri","Christian",87324,80998
"29049","Missouri","Clinton",20503,19165
"29055","Missouri","Crawford",23984,22747
"29061","Missouri","Daviess",8294,7943
"29067","Missouri","Douglas",13335,12638
"29073","Missouri","Gasconade",14673,14039
"29079","Missouri","Grundy",9885,9277
"29085","Missouri","Hickory",9452,8946
"29091","Missouri","Howell",40130,37763
"29097","Missouri","Jasper",120528,100935
"29101","Missouri","Johnson",53948,46003
"29107","Missouri","Lafayette",32697,29987
"29113","Missouri","Lincoln",57590,53519
"29119","Missouri","McDonald",22882,16577
"29125","Missouri","Maries",8791,8379
"29131","Missouri","Miller",25369,24038
"29137","Missouri","Monroe",8630,7980
"29143","Missouri","New Madrid",17275,13675
"29149","Missouri","Oregon",10561,9932
"29155","Missouri","Pemiscot",16330,11129
"29203","Missouri","Shannon",8207,7693
"29209","Missouri","Stone",31875,30155
"29215","Missouri","Texas",25518,23144
"29221","Missouri","Washington",24819,23254
"29227","Missouri","Worth",2001,1921
"29510","Missouri","St. Louis",304709,133869
"12005","Florida","Bay",180076,136521
"12011","Florida","Broward",1942273,689773
"12017","Florida","Citrus",147938,129540
"12023","Florida","Columbia",70898,50813
"12031","Florida","Duval",948651,491340
"12037","Florida","Franklin",11914,9090
"12043","Florida","Glades",13777,8255
"12049","Florida","Hardee",27027,12598
"12055","Florida","Highlands",104574,69153
"12061","Florida","Indian River",156964,117635
"12067","Florida","Lafayette",8576,5649
"12073","Florida","Leon",291863,163405
"12077","Florida","Liberty",8333,6251
"12083","Florida","Marion",360210,250938
"12087","Florida","Monroe",75137,49109
"12093","Florida","Okeechobee",41611,26036
"31005","Nebraska","Arthur",439,418
"31011","Nebraska","Boone",5228,5036
